Consumer complaint narrative,Product,len
Name is wrong on Equifax,Credit reporting,24
I have no knowledge of said debt.,Debt collection,33
I have no idea what this debt is regarding,Debt collection,42
There are XXXX accounts in my name. XXXX is mine.,Debt collection,49
I had some one that has use my name,Debt collection,35
have ran XXXX credit reports on me with XXXX,Debt collection,44
never received first cardss : XXXX : XXXX XXXX,Money transfers,46
Unauthorized inquiry and/or unknown company,Credit reporting,43
Judgments filed and reported while on XXXX.,Credit reporting,43
They are reporting old debt as new accounts,Debt collection,43
failure to provide a XXXX account statement.,Mortgage,44
I am a victim of identity theft.,Credit reporting,32
wrong employer info,Credit reporting,19
There keeping call me and my family,Debt collection,35
"Pulled credit report without permission,",Credit card,40
XXXX does n't have my information right like XXXX,Mortgage,49
Stolen my information on the credit reports.,Credit reporting,44
My yonger sister bad credit is on my credit.,Credit reporting,44
Inquiry issue called XXXX they refused to remove,Credit reporting,48
Unauthorized inquiry and/or unknown company,Credit reporting,43
This inquiry was n't me,Credit card,23
Contacted my former landlord about alleged debt.,Debt collection,48
Fraudulent inquiries / all inquiries,Credit reporting,36
account is not mine..,Credit reporting,21
Unauthorized Inquiry,Credit reporting,20
They call XXXX times a day,Debt collection,26
An account was opened unaware to my knowledge.,Debt collection,46
calls twice a day leave message or says nothing,Debt collection,47
Did n't receive a bill or payment arrangements.,Debt collection,47
I have no knowledge of said debt.,Debt collection,33
a fictisous name appears on my credit report,Credit reporting,44
I have no knowledge of said debt.,Debt collection,33
Never had services with XXXX.,Debt collection,29
I feel that I 'm paying more than I should.,Consumer Loan,43
They add fees to this account,Prepaid card,29
I tried to pay my car loan,Consumer Loan,26
"it my belief, base discrimintion ( treatment )",Consumer Loan,46
Equifax system is cumbersome,Credit reporting,28
XXXX XXXX NO CONTRACT,Debt collection,21
Trumped up my principal owed illegally.,Student loan,39
Modified loan that was in default from conception,Mortgage,49
Debt belongs to my deceased husband.,Debt collection,36
this not my account,Credit reporting,19
I did not apply for,Debt collection,19
I have never lived in Maryland,Credit reporting,30
Car was a lemon and was returned,Debt collection,32
I dont even know who these people are,Debt collection,37
asked to remove inquiries off my credit report,Credit reporting,46
AMEX would not/could not cancel my account.,Credit card,43
I have no knowledge of this debt.,Debt collection,33
I have no knowledge of said debt.,Debt collection,33
I have no knowledge of said debt,Debt collection,32
FAILED TO VALIDATE HAVE 3 DAYS LEFT TO DO SO!,Debt collection,45
NO REMOVAL OF THE INQUIRY.,Credit reporting,26
"Never lived here:XXXXXXXX XXXX, TX XXXX",Credit reporting,39
i have account in collection that is not mine,Debt collection,45
Agency will not provide the correct documentation,Debt collection,49
this was paid either by XXXX or my medical.,Debt collection,43
INCORRECT INFORMATION XXXX WRONG BALANCE IT LESS,Credit reporting,48
I have no knowledge of this dept,Credit reporting,32
calling on Sunday night late,Debt collection,28
debt is not valid see attached.,Debt collection,31
The inquiry I did not authorize,Credit reporting,31
keeps putting hard inquries on my credit report,Consumer Loan,47
the account was paid and has a XXXX balance,Credit card,43
They need to prove that this is my debt.,Debt collection,40
incorrect info on my report,Credit reporting,27
"I get a call everyday asking for "" XXXX XXXX ''",Debt collection,47
I am a victim of idenity theft.,Credit reporting,31
I am being charged for unauthorized charges,Credit card,43
"Hi, I am not able to get my annual credit report.",Credit reporting,49
SHOWS LATE PAYMENT ON ACCOUNTS THAT ARE CLOESED.,Credit reporting,48
Saw runs of my credit not authorized by me,Credit reporting,42
I did not receive promised lender credit.,Mortgage,41
mortgage co fail to report proper credit,Mortgage,40
They will not answer their phones,Credit reporting,33
They call every hour 7 days a week,Debt collection,34
Debt was paid.,Debt collection,14
Inaccurate and old reports on my credit report.,Credit reporting,47
Equifax refuses to address the issue on the phone,Credit reporting,49
Account was paid as agreed. Never late.,Consumer Loan,39
This matter has been resolved as of XXXX 2015.,Debt collection,46
Received Credit Card I did not request.,Credit card,39
I never got this loan.,Payday loan,22
This debt was paid by XXXX XXXX charity program,Debt collection,47
wrong account i did not use hospital,Credit reporting,36
They just keep calling.,Debt collection,23
Afini keeps trying to collect on debt not mine,Debt collection,46
illegal foreclosure,Mortgage,19
unable to acess funds from the rush card,Prepaid card,40
Amount was included in my bankructy,Debt collection,35
they are charging me more than i owed.,Debt collection,38
"I have NEVER LIVED on XXXX XXXX, XXXX, NY",Credit reporting,41
hurting my credit report with incorrect debt,Debt collection,44
Please see case number XXXX,Mortgage,27
This is no my account,Credit reporting,21
Threatening to visit my home or job,Debt collection,35
continued calling about debt i dont owe,Debt collection,39
Debt was from identity theft and not mine,Debt collection,41
That I was charged to much,Student loan,26
My credit report has an address i never lived at.,Credit reporting,49
False Collection Debt,Debt collection,21
Address listed is not mine.,Credit reporting,27
Lists an address in VA that I 've never lived.,Credit reporting,46
incorrect information reporting,Credit reporting,31
I have never lived in the XXXX area,Debt collection,35
Debt it not valid.,Debt collection,18
I dispute the validity of this debt.,Debt collection,36
CREDIT REPORT CONTAIN XXXX WRONG ADDREEES,Credit reporting,41
Never have lived in Utah,Credit reporting,24
Was never told about debt,Debt collection,25
denied Secured Card,Credit card,19
Contacted me at work after I asked them not to.,Debt collection,47
Cancelled debt but failed to reconvey the lien.,Mortgage,47
I CAN NOT RETRIEVE MY CREDIT SCORE.,Credit reporting,35
"VIOLATION OF FDCPA, TCPA AND DODD-FRANK ACT",Debt collection,43
they keep sending me collection that are not mine,Debt collection,49
Accounts has not been verified,"Credit reporting, credit repair services, or other personal consumer reports",30
recording asked for XXXX almost daily,Debt collection,37
I sent money to a scam and need my money back,Money transfers,45
Equifax keeps wrong information on my report.,Credit reporting,45
This debt does not belong to me.,Debt collection,32
NOTICED ITEMS APPEARED ON MY CREDIT REPORT,Debt collection,42
Never had a student loan,Debt collection,24
reporting wrong information loan # XXXX,Mortgage,39
I do not believe I am liable for this debt.,Debt collection,43
repeated unwanted phone calls,Debt collection,29
I have never lived in  XXXX,"Credit reporting, credit repair services, or other personal consumer reports",27
Noticed un-erified account on my profile,Debt collection,40
This was n't me who applied for the debt,Debt collection,40
they contacted me at work,Debt collection,25
Unauthorized inquiry and/or unknown company,Credit reporting,43
Refused to remove believe it 's an inquiry issue,Credit reporting,48
On credit,Debt collection,9
I have a mixed file on my credit file XXXX,Credit reporting,42
refuse to correct my account. pymt made on time.,Credit card,48
Money was to be paid by my XXXX Insurance Company,Debt collection,49
This debt was paid direct to XXXX,Debt collection,33
i was told repeatably this item will remove ..,Mortgage,46
I never heard back from the credit bureau,Credit reporting,41
I didn't open this account,Debt collection,26
I never heard back from them,Credit reporting,28
Home foreclosed w/o proper notice,Mortgage,33
Account was paid as agreed.,Debt collection,27
Account was paid as agreed.,Debt collection,27
Account was paid as agreed and was never late.,Debt collection,46
Account was paid as agreed.,Debt collection,27
I need validation of this account.,Debt collection,34
I need to receive validation of this account.,Debt collection,45
I have no knowledge of this debt,Debt collection,32
clearing out of my debt.,Debt collection,24
Account was paid as agreed.,Debt collection,27
Account was paid as agreed.,Debt collection,27
Cash  call  XXXX   XXXX  dollar loan.,Debt collection,37
The account was paid in full.,Debt collection,29
